Sample,barcode,type,Genus,count
Mcav-disease,82,Bacteria,Burkholderia,1
Mcav-disease,82,Bacteria,Calothrix,1
Mcav-disease,82,Bacteria,Chlorobium,1
Mcav-disease,82,Bacteria,Chryseobacterium,1
Mcav-disease,82,Bacteria,Flavobacterium,1
Mcav-disease,82,Bacteria,Formosa,1
Mcav-disease,82,Bacteria,Gammaproteobacteria,1
Mcav-disease,82,Bacteria,Gimesia,1
Mcav-disease,82,Bacteria,Hyphomonas,1
Mcav-disease,82,Bacteria,Kordia,1
Mcav-disease,82,Bacteria,Lactiplantibacillus,1
Mcav-disease,82,Bacteria,Macrococcus,1
Mcav-disease,82,Bacteria,Malaciobacter,1
Mcav-disease,82,Bacteria,Marinobacter,1
Mcav-disease,82,Bacteria,Mesorhizobium,1
Mcav-disease,82,Bacteria,Micromonospora,1
Mcav-disease,82,Bacteria,Mycoplasmopsis,1
Mcav-disease,82,Bacteria,Myroides,1
Mcav-disease,82,Bacteria,Paenibacillus,1
Mcav-disease,82,Bacteria,Phycisphaerales,1
Mcav-disease,82,Bacteria,Planktothrix,1
Mcav-disease,82,Bacteria,Pseudomonas,1
Mcav-disease,82,Bacteria,Ruegeria,1
Mcav-disease,82,Bacteria,Sanguibacter,1
Mcav-disease,82,Bacteria,Schlegelella,1
Mcav-disease,82,Bacteria,Sodalis,1
Mcav-disease,82,Bacteria,Sphingomonas,1
Mcav-disease,82,Bacteria,Sporosarcina,1
Mcav-disease,82,Bacteria,Streptococcus,1
Mcav-disease,82,Eukaryota,Plasmodium,22517
Mcav-disease,82,Eukaryota,Orbicella,16609
Mcav-disease,82,Eukaryota,Acropora,1593
Mcav-disease,82,Eukaryota,Stylophora,677
Mcav-disease,82,Eukaryota,Heterocephalus,384
Mcav-disease,82,Eukaryota,Pocillopora,329
Mcav-disease,82,Eukaryota,Chrysodeixis,279
Mcav-disease,82,Eukaryota,Montastraea,127
Mcav-disease,82,Eukaryota,Dipsastraea,117
Mcav-disease,82,Eukaryota,Nematostella,81
Mcav-disease,82,Eukaryota,Diadumene,78
Mcav-disease,82,Eukaryota,Kluyveromyces,54
Mcav-disease,82,Eukaryota,Diploastrea,53
Mcav-disease,82,Eukaryota,Mussismilia,46
Mcav-disease,82,Eukaryota,Cladocopium,41
Mcav-disease,82,Eukaryota,Favites,41
Mcav-disease,82,Eukaryota,Favia,37
Mcav-disease,82,Eukaryota,Rhinella,37
Mcav-disease,82,Eukaryota,Colpophyllia,27
Mcav-disease,82,Eukaryota,Danio,27
Mcav-disease,82,Eukaryota,Actinia,25
Mcav-disease,82,Eukaryota,Bipolaris,21
Mcav-disease,82,Eukaryota,Timema,21
Mcav-disease,82,Eukaryota,Xanthoconium,21
Mcav-disease,82,Eukaryota,Cephaleuros,19
Mcav-disease,82,Eukaryota,Coelastrea,19
Mcav-disease,82,Eukaryota,Leiopathes,19
Mcav-disease,82,Eukaryota,Sclerophyllia,17
Mcav-disease,82,Eukaryota,Gossypium,16
Mcav-disease,82,Eukaryota,Erythropodium,15
Mcav-disease,82,Eukaryota,Symbiodinium,15
Mcav-disease,82,Eukaryota,Saccharomyces,13
Mcav-disease,82,Eukaryota,Canis,12
Mcav-disease,82,Eukaryota,Dendronephthya,12
Mcav-disease,82,Eukaryota,Breviolum,11
Mcav-disease,82,Eukaryota,Exaiptasia,11
Mcav-disease,82,Eukaryota,Limnephilus,11
Mcav-disease,82,Eukaryota,Montipora,11
Mcav-disease,82,Eukaryota,Polycyathus,11
Mcav-disease,82,Eukaryota,Marthasterias,10
Mcav-disease,82,Eukaryota,Caryophyllia,9
Mcav-disease,82,Eukaryota,Coregonus,9
Mcav-disease,82,Eukaryota,Gibbula,9
Mcav-disease,82,Eukaryota,Madrepora,9
Mcav-disease,82,Eukaryota,Melanaphis,9
Mcav-disease,82,Eukaryota,Mus,9
Mcav-disease,82,Eukaryota,Pyricularia,9
Mcav-disease,82,Eukaryota,Sebastes,9
Mcav-disease,82,Eukaryota,Gadus,8
Mcav-disease,82,Eukaryota,Pecten,8
Mcav-disease,82,Eukaryota,Schistosoma,8
Mcav-disease,82,Eukaryota,Trochocyathus,8
Mcav-disease,82,Eukaryota,Antipathes,7
Mcav-disease,82,Eukaryota,Echinophyllia,7
Mcav-disease,82,Eukaryota,Maniola,7
Mcav-disease,82,Eukaryota,Platygyra,7
Mcav-disease,82,Eukaryota,Brassica,6
Mcav-disease,82,Eukaryota,Corynactis,6
Mcav-disease,82,Eukaryota,Cryptosporidium,6
Mcav-disease,82,Eukaryota,Epinotia,6
Mcav-disease,82,Eukaryota,Goniastrea,6
Mcav-disease,82,Eukaryota,Melinaea,6
Mcav-disease,82,Eukaryota,Plesiastrea,6
Mcav-disease,82,Eukaryota,Psylliodes,6
Mcav-disease,82,Eukaryota,Seriatopora,6
Mcav-disease,82,Eukaryota,Sesia,6
Mcav-disease,82,Eukaryota,Solanum,6
Mcav-disease,82,Eukaryota,Sphaeramia,6
Mcav-disease,82,Eukaryota,Tridacna,6
Mcav-disease,82,Eukaryota,Alsophila,5
Mcav-disease,82,Eukaryota,Barbus,5
Mcav-disease,82,Eukaryota,Chrysolina,5
Mcav-disease,82,Eukaryota,Euplexia,5
Mcav-disease,82,Eukaryota,Haliclystus,5
Mcav-disease,82,Eukaryota,Homo,5
Mcav-disease,82,Eukaryota,Ischnura,5
Mcav-disease,82,Eukaryota,Lineus,5
Mcav-disease,82,Eukaryota,Lumbricus,5
Mcav-disease,82,Eukaryota,Madracis,5
Mcav-disease,82,Eukaryota,Myripristis,5
Mcav-disease,82,Eukaryota,Notocelia,5
Mcav-disease,82,Eukaryota,Ocypus,5
Mcav-disease,82,Eukaryota,Patiria,5
Mcav-disease,82,Eukaryota,Phaeodactylum,5
Mcav-disease,82,Eukaryota,Phorcus,5
Mcav-disease,82,Eukaryota,Sacculina,5
Mcav-disease,82,Eukaryota,Silurus,5
Mcav-disease,82,Eukaryota,Steromphala,5
Mcav-disease,82,Eukaryota,Telmatherina,5
Mcav-disease,82,Eukaryota,Tethocyathus,5
Mcav-disease,82,Eukaryota,Trichoderma,5
Mcav-disease,82,Eukaryota,Xenia,5
Mcav-disease,82,Eukaryota,Alitta,4
Mcav-disease,82,Eukaryota,Ananas,4
Mcav-disease,82,Eukaryota,Anopheles,4
Mcav-disease,82,Eukaryota,Calonectria,4
Mcav-disease,82,Eukaryota,Crassostrea,4
Mcav-disease,82,Eukaryota,Cryptosula,4
Mcav-disease,82,Eukaryota,Cybosia,4
Mcav-disease,82,Eukaryota,Erebia,4
Mcav-disease,82,Eukaryota,Fragum,4
Mcav-disease,82,Eukaryota,Hydnophora,4
Mcav-disease,82,Eukaryota,Ipomoea,4
Mcav-disease,82,Eukaryota,Lepeophtheirus,4
Mcav-disease,82,Eukaryota,Nebria,4
Mcav-disease,82,Eukaryota,Ophonus,4
Mcav-disease,82,Eukaryota,Oryzias,4
Mcav-disease,82,Eukaryota,Phaedon,4
Mcav-disease,82,Eukaryota,Pyrgus,4
Mcav-disease,82,Eukaryota,Salmo,4
Mcav-disease,82,Eukaryota,Synanthedon,4
Mcav-disease,82,Eukaryota,Syngnathus,4
Mcav-disease,82,Eukaryota,Ypsolopha,4
Mcav-disease,82,Eukaryota,Accipiter,3
Mcav-disease,82,Eukaryota,Acipenser,3
Mcav-disease,82,Eukaryota,Acomys,3
Mcav-disease,82,Eukaryota,Agrochola,3
Mcav-disease,82,Eukaryota,Ailanthus,3
Mcav-disease,82,Eukaryota,Alloplasta,3
Mcav-disease,82,Eukaryota,Anoplius,3
Mcav-disease,82,Eukaryota,Aphis,3
Mcav-disease,82,Eukaryota,Apoda,3
Mcav-disease,82,Eukaryota,Aricia,3
Mcav-disease,82,Eukaryota,Bibio,3
Mcav-disease,82,Eukaryota,Cucumis,3
Mcav-disease,82,Eukaryota,Epicampocera,3
Mcav-disease,82,Eukaryota,Epinephelus,3
Mcav-disease,82,Eukaryota,Euclidia,3
Mcav-disease,82,Eukaryota,Gallus,3
Mcav-disease,82,Eukaryota,Glyphotaelius,3
Mcav-disease,82,Eukaryota,Gossypioides,3
Mcav-disease,82,Eukaryota,Gouania,3
Mcav-disease,82,Eukaryota,Heterobilharzia,3
Mcav-disease,82,Eukaryota,Larimichthys,3
Mcav-disease,82,Eukaryota,Lepidonotus,3
Mcav-disease,82,Eukaryota,Luperina,3
Mcav-disease,82,Eukaryota,Lycaena,3
Mcav-disease,82,Eukaryota,Macrobrachium,3
Mcav-disease,82,Eukaryota,Malachius,3
Mcav-disease,82,Eukaryota,Melanargia,3
Mcav-disease,82,Eukaryota,Mussa,3
Mcav-disease,82,Eukaryota,Noctua,3
Mcav-disease,82,Eukaryota,Nymphalis,3
Mcav-disease,82,Eukaryota,Ovis,3
Mcav-disease,82,Eukaryota,Oxypora,3
